EPIC,fund_period,fund_power,sig_period,sig_power,sec_period,sec_power,num_sig,harm_type,threshold,SpotEvol,MultiProt,Q,Q2,Q3,Neighbor,Blended,ImgProblem,Notes,Notes – neighbors
210709514,10.9678,0.7849,10.9678,0.7849,5.4532,0.1322,1,half,0.00753,y,n,0,2,-,m,n,n,,
210718930,2.4132,0.7109,2.4132,0.7109,1.2076,0.0289,0,half,0.007612,n,n,0,2,-,n,n,n,,
210721261,1.5415,0.8964,1.5415,0.8964,0.7705,0.0156,0,half,0.008115,n,n,0,2,-,n,n,n,,
210726910,3.2981,0.5455,3.2981,0.5455,1.6427,0.1942,2,half,0.007751,y,n,0,2,2,n,n,n,pointy features again,
210741091,11.7853,0.3719,11.7853,0.3719,5.2807,0.0847,2,-,0.007822,y,n,1,2,2,n,n,n,single spot develops halfway through campaign; hard to define period correctly,
210742017,2.8807,0.6572,2.8807,0.6572,40.6433,0.0574,1,-,0.007158,n,n,0,2,-,y,y,n,,several slighly fainter neighors; one blended
210743724,26.6059,0.5925,26.6059,0.5925,-9999,-9999,0,-,0.00764,y,n,0,-,-,y,n,n,,
210754620,70,0.379,0.634,0.2983,0.3167,0.124,0,half,0.007356,y,n,0,2,-,y,n,n,,
210772187,9.5703,0.721,9.5703,0.721,65.4267,0.0205,2,-,0.007503,n,n,0,2,2,y,y,n,,fainter slightly blended neighbor
210828490,0.163,0.0523,0.163,0.0523,0.326,0.0205,3,dbl,0.006831,y,n,2,0,2,y,y,n,second period has double-dip pattern and phases better,"two neighbors, fainter one (DSS only, not 2MASS) blends in K2 PSF"
210834592,65.4267,0.1059,65.4267,0.1059,0.6464,0.0291,1,-,0.007128,n,n,2,0,-,n,n,n,first period is the campaign length,primary is almost invisible in DSS
210835057,0.3419,0.0359,0.3419,0.0359,-9999,-9999,0,-,0.006477,n,n,0,-,-,n,n,n,,primary is almost invisible in DSS
210846111,1.5511,0.1433,1.5511,0.1433,3.0288,0.0305,3,dbl,0.00798,y,n,0,2,2,n,n,n,,
210871016,47.0019,0.0285,47.0019,0.0285,0.1545,0.0148,1,-,0.00641,n,n,2,0,-,y,y,n,first period is too long and doesn't phase,brighter neighbor blended in PSF
210878579,35.8001,0.2092,35.8001,0.2092,0.1824,0.0339,3,-,0.008305,n,n,2,2,2,n,n,n,second or third period might be real; but light curve is too noisy and the phase folded light curves look flat,
210889984,70,0.3985,11.5143,0.2816,5.9033,0.1169,0,half,0.007666,y,n,0,2,-,y,y,n,slight phase drift,
210899231,1.2253,0.5188,1.2253,0.5188,51.8711,0.0291,3,-,0.007687,y,n,0,2,2,n,n,n,,
210899260,59.002,0.3635,59.002,0.3635,9.1339,0.181,2,-,0.008171,y,n,2,1,2,y,y,n,second period looks right; but lc is noisy and period only reallly shows up in the first half of the campaign,
210923016,62.6959,0.0634,62.6959,0.0634,0.5786,0.0357,2,-,0.006329,y,n,2,1,1,n,n,n,Not clear which period is correct: second and third peaks are almost at the same height,
210945848,13.0102,0.598,13.0102,0.598,6.462,0.2428,2,half,0.007717,y,n,0,2,2,y,y,n,slight phase drift,
210949810,21.9422,0.3206,21.9422,0.3206,-9999,-9999,0,-,0.006602,n,n,0,-,-,y,y,n,,
246624367,0.8014,0.1713,0.8014,0.1713,1.0461,0.0328,1,-,0.007334,n,m,0,1,-,y,m,n,second period phases OK but is very low amplitude,
246625561,2.2173,0.1553,2.2173,0.1553,0.1498,0.0214,2,-,0.006738,n,m,0,1,2,y,y,n,second period phases well but is very low amplitude,blended in DSS and 2MASS
246642267,59.002,0.0536,59.002,0.0536,2.4526,0.0342,1,-,0.006689,n,n,2,0,-,y,y,n,,
246677610,26.1428,0.0875,26.1428,0.0875,-9999,-9999,0,-,0.007659,n,n,2,-,-,y,y,n,doesn't phase up and variability is nonpeirodic,
246690477,2.0494,0.3932,2.0494,0.3932,1.0257,0.0295,0,half,0.008158,y,n,0,2,-,n,n,n,,
246707008,1.1994,0.4034,1.1994,0.4034,60.184,0.1726,3,-,0.007833,n,n,0,2,2,n,n,n,,
246714118,23.671,0.2657,23.671,0.2657,0.3216,0.0985,2,-,0.007982,n,n,2,0,2,n,n,n,first period doesn't phase up,
246732310,12.8985,0.8814,12.8985,0.8814,6.1827,0.013,1,half,0.008029,y,n,0,2,-,y,y,n,,
246735080,54.7046,0.0179,54.7046,0.0179,-9999,-9999,0,-,0.006387,n,n,2,-,-,y,n,n,there's also a ~1 day period but it's well below the threshold,
246752527,3.3608,0.7211,3.3608,0.7211,6.7222,0.059,0,dbl,0.007869,y,n,2,0,-,y,y,n,Double-dip pattern is barely visible but it shows up in the full light curve,
246768912,43.592,0.289,43.592,0.289,0.5725,0.1446,1,-,0.007944,n,n,2,0,-,y,y,n,first period doesn't phase up; it's just a long period trend,
246777832,12.8985,0.5951,12.8985,0.5951,6.7222,0.2526,1,half,0.009301,y,n,0,2,-,y,n,n,phase drift,
246787471,7.4935,0.2329,7.4935,0.2329,0.4307,0.114,3,-,0.00863,n,y,0,0,2,y,n,n,second period does phase up,
246794704,10.4709,0.5126,10.4709,0.5126,4.7845,0.3345,0,half-maybe,0.008885,y,n,1,2,-,y,y,n,twice the second period (9.58 d) is probably correct; first period only sort of phases up,
246806983,2.6103,0.7822,2.6103,0.7822,14.3117,0.0686,3,-,0.007952,n,n,0,2,2,y,m,n,,
